Country,Year,Sex,Age,Deaths,Pop
4020,2002,1.0,2,304.0,57442.0
4020,2002,2.0,2,204.0,54844.0
4038,1995,1.0,2,262.0,27500.0
4038,1995,2.0,2,187.0,26300.0
4038,1996,1.0,2,252.0,26400.0
4038,1996,2.0,2,181.0,25000.0
4038,1997,1.0,2,272.0,28700.0
4038,1997,2.0,2,185.0,26800.0
4038,1998,1.0,2,222.0,24100.0
4038,1998,2.0,2,166.0,23000.0
4038,1999,1.0,2,183.0,23500.0
4038,1999,2.0,2,167.0,22200.0
4038,2000,1.0,2,173.0,24300.0
4038,2000,2.0,2,151.0,23200.0
4038,2001,1.0,2,167.0,22097.0
4038,2001,2.0,2,148.0,20845.0
4038,2002,1.0,2,159.0,20700.0
4038,2002,2.0,2,123.0,19700.0
4045,1994,1.0,2,486.0,58000.0
4045,1994,2.0,2,361.0,55100.0
4045,1995,1.0,2,439.0,51700.0
4045,1995,2.0,2,301.0,49000.0
4045,1996,1.0,2,290.0,47600.0
4045,1996,2.0,2,257.0,45100.0
4045,1997,1.0,2,293.0,46300.0
4045,1997,2.0,2,238.0,43900.0
4045,1998,1.0,2,269.0,46400.0
4045,1998,2.0,2,203.0,43900.0
4045,1999,1.0,2,221.0,46039.0
4045,1999,2.0,2,192.0,43663.0
4045,2000,1.0,2,218.0,46292.0
4045,2000,2.0,2,155.0,43620.0
4045,2001,1.0,2,212.0,46470.0
4045,2001,2.0,2,148.0,43636.0
4045,2002,1.0,2,216.0,47127.0
4045,2002,2.0,2,169.0,44592.0
4050,1994,1.0,2,219.0,34800.0
4050,1994,2.0,2,161.0,33100.0
4050,1995,1.0,2,200.0,35900.0
4050,1995,2.0,2,153.0,34300.0
4050,1996,1.0,2,218.0,35500.0
4050,1996,2.0,2,155.0,33100.0
4050,1997,1.0,2,185.0,35100.0
4050,1997,2.0,2,163.0,33300.0
4050,1998,1.0,2,150.0,33900.0
4050,1998,2.0,2,143.0,32100.0
4050,1999,1.0,2,165.0,34145.0
4050,1999,2.0,2,111.0,32572.0
4050,2000,1.0,2,192.0,33943.0
4050,2000,2.0,2,141.0,32239.0
4050,2001,1.0,2,152.0,34179.0
4050,2001,2.0,2,151.0,32244.0
4050,2002,1.0,2,152.0,32757.0
4050,2002,2.0,2,119.0,31482.0
4080,2000,1.0,2,1984.0,385772.0
4080,2000,2.0,2,1409.0,366604.0
4080,2001,1.0,2,1955.0,393522.0
4080,2001,2.0,2,1477.0,375457.0
4080,2002,1.0,2,1753.0,390300.0
4080,2002,2.0,2,1361.0,372961.0
4085,1998,1.0,2,2089.0,409400.0
4085,1998,2.0,2,1579.0,388400.0
4085,1999,1.0,2,1980.0,399600.0
4085,1999,2.0,2,1516.0,378300.0
4085,2000,1.0,2,1917.0,394600.0
4085,2000,2.0,2,1445.0,374059.0
4085,2001,1.0,2,1815.0,385543.0
4085,2001,2.0,2,1348.0,365447.0
4085,2002,1.0,2,1670.0,373696.0
4085,2002,2.0,2,1366.0,353662.0
4150,1996,1.0,2,625.0,55264.0
4150,1996,2.0,2,523.0,52328.0
4150,1997,1.0,2,569.0,52420.0
4150,1997,2.0,2,420.0,49286.0
4150,1998,1.0,2,543.0,50242.0
4150,1998,2.0,2,401.0,47416.0
4150,1999,1.0,2,454.0,48983.0
4150,1999,2.0,2,344.0,46218.0
4150,2000,1.0,2,492.0,49147.0
4150,2000,2.0,2,408.0,46226.0
